Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Byron Donalds,107,0.429,FL,19,R,M,0,MBlackGeneric ShortNormalSerious SmileNormalNoneNormalNoneBrownBrownNo,Black,Generic Short,Normal,Serious Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Alcee Hastings,108,0.493,FL,20,D,M,0,MGrayBaldNormalNormalNormalBeardNormalNoneBrownBrownYes,Gray,Bald,Normal,Normal,Normal,Beard,Normal,None,Brown,Brown,Yes,Y
Lois Frankel,109,0.458,FL,21,D,F,0,FBlackFemale ShortNormalNormalNormalNoneCheeksNoneBrownWhiteYes,Black,Female Short,Normal,Normal,Normal,None,Cheeks,None,Brown,White,Yes,Y
Ted Deutch,110,0.533,FL,22,D,M,0,MGrayBaldNormalSerious SmileNormalNoneNormalNoneBrownWhiteYes,Gray,Bald,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,Yes,Y
Debbie Wasserman Schultz,111,0.599,FL,23,D,F,0,FBlondeFemale LongNormalBig SmileNormalNoneNormalNoneHazelWhiteNo,Blonde,Female Long,Normal,Big Smile,Normal,None,Normal,None,Hazel,White,No,Y
Frederica Wilson,112,0.533,FL,24,D,F,0,FBlackGeneric ShortNormalBig SmileNormalNoneNormalCowboy HatBrownBrownYes,Black,Generic Short,Normal,Big Smile,Normal,None,Normal,Cowboy Hat,Brown,Brown,Yes,Y
Mario Diaz-Balart,113,0.498,FL,25,R,M,0,MBrownReceding HairlineProminentSmirkBigNoneCheeksNoneBrownWhiteMild,Brown,Receding Hairline,Prominent,Smirk,Big,None,Cheeks,None,Brown,White,Mild,Y
Carlos Gimenez,114,0.505,FL,26,R,M,0,MWhiteGeneric ShortProminentSerious SmileBigNoneNormalNoneBrownWhiteMild,White,Generic Short,Prominent,Serious Smile,Big,None,Normal,None,Brown,White,Mild,Y
Maria Elvira Salazar,115,0.593,FL,27,R,F,0,FBrownFemale LongProminentBig SmileNormalNoneNormalNoneBrownWhiteNo,Brown,Female Long,Prominent,Big Smile,Normal,None,Normal,None,Brown,White,No,Y
Marco Rubio,457,0.917,FL,SEN,R,M,0,MDark BrownGeneric Male MediumNormalBig SmileBigNoneNormalNoneHazelTanNo,Dark Brown,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Hazel,Tan,No,Y
Rick Scott,458,0.876,FL,SEN,R,M,0,MGrayBaldNormalThin LipsBigNoneNormalNoneBlueWhitemild,Gray,Bald,Normal,Thin Lips,Big,None,Normal,None,Blue,White,mild,Y
Buddy Carter,116,0.504,GA,1,R,M,0,MGrayGeneric Male MediumProminentSerious SmileBigNoneCheeksNoneBrownOrangeYes,Gray,Generic Male Medium,Prominent,Serious Smile,Big,None,Cheeks,None,Brown,Orange,Yes,Y
Sanford Bishop,117,0.514,GA,2,D,M,0,MBlackReceding HairlineNormalNormalNormalMoustacheNormalNoneBrownBrownYes,Black,Receding Hairline,Normal,Normal,Normal,Moustache,Normal,None,Brown,Brown,Yes,Y
Drew Ferguson,118,0.394,GA,3,R,M,0,MGrayGeneric Male MediumNormalThin LipsBigNoneCheeksNoneGreyWhiteMild,Gray,Generic Male Medium,Normal,Thin Lips,Big,None,Cheeks,None,Grey,White,Mild,Y
Hank Johnson,119,0.672,GA,4,D,M,0,MWhiteGeneric ShortNormalNo SmileNormalNoneNormalNoneBrownBrownNo,White,Generic Short,Normal,No Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Nikema Williams,120,0.578,GA,5,D,F,0,FBlackFemale LongNormalBig SmileNormalNoneNormalGlassesBrownBrownNo,Black,Female Long,Normal,Big Smile,Normal,None,Normal,Glasses,Brown,Brown,No,Y
Lucy McBath,121,0.645,GA,6,D,F,0,FRedFemale LongNormalBig SmileNormalNoneNormalNoneBrownBrownMild,Red,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,Mild,Y
Carolyn Bourdeaux,122,0.546,GA,7,D,F,0,FGrayFemale ShortNormalNormalNormalNoneNormalGlassesBrownWhiteYes,Gray,Female Short,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Austin Scott,123,0.515,GA,8,R,M,0,MBrownGeneric Male MediumNormalBig SmileNormalNoneChinNoneGreenWhiteMild,Brown,Generic Male Medium,Normal,Big Smile,Normal,None,Chin,None,Green,White,Mild,Y
Andrew Clyde,124,0.423,GA,9,R,M,0,MGrayGeneric Male MediumProminentNo SmileBigNoneCheeksNoneBrownWhiteMild,Gray,Generic Male Medium,Prominent,No Smile,Big,None,Cheeks,None,Brown,White,Mild,Y
Jody Hice,125,0.46,GA,10,R,M,0,MGrayGeneric ShortProminentThin LipsBigNoneChinNoneBrownWhiteMild,Gray,Generic Short,Prominent,Thin Lips,Big,None,Chin,None,Brown,White,Mild,Y
Barry Loudermilk,126,0.473,GA,11,R,M,0,MGrayGeneric Male MediumNormalNormalBigNoneNormalGlassesHazelWhiteMild,Gray,Generic Male Medium,Normal,Normal,Big,None,Normal,Glasses,Hazel,White,Mild,Y
Rick W. Allen,127,0.385,GA,12,R,M,0,MGrayGeneric Male MediumNormalBig SmileNormalNoneNormalNoneBrownWhiteYes,Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Yes,Y
David Scott,128,0.514,GA,13,D,M,0,MGrayGeneric ShortNormalNormalNormalMoustacheNormalNoneBrownBrownYes,Gray,Generic Short,Normal,Normal,Normal,Moustache,Normal,None,Brown,Brown,Yes,Y
Marjorie Taylor Greene,129,0.72,GA,14,R,F,0,FLight BlondeFemale LongNormalBig SmileBigNoneNormalNoneBrownWhiteMild,Light Blonde,Female Long,Normal,Big Smile,Big,None,Normal,None,Brown,White,Mild,Y
Raphael Warnock,460,0.917,GA,SEN,D,M,0,MNoneBaldProminentBig SmileBigGoateeCheeksGlassesBrownBlackNo,None,Bald,Prominent,Big Smile,Big,Goatee,Cheeks,Glasses,Brown,Black,No,Y
Jon Ossoff,559,0.908,GA,SEN,D,M,0,MDark BrownGeneric Male MediumProminentSmirkBigNoneNormalNoneAmberwhiteno,Dark Brown,Generic Male Medium,Prominent,Smirk,Big,None,Normal,None,Amber,white,no,Y
Michael F San Nicolas,130,0.4,GU,1,D,M,0,MBlackGeneric ShortNormalNormalNormalBeardNormalNoneBrownWhiteNo,Black,Generic Short,Normal,Normal,Normal,Beard,Normal,None,Brown,White,No,Y
Ed Case,131,0.587,HI,1,D,M,0,MBrownGeneric ShortNormalBig SmileNormalNoneChinNoneBrownWhiteMild,Brown,Generic Short,Normal,Big Smile,Normal,None,Chin,None,Brown,White,Mild,Y
Kai Kahele,132,0.539,HI,2,D,M,0,MBlackGeneric Male MediumNormalSmirkNormalNoneNormalNoneHazelWhiteYes,Black,Generic Male Medium,Normal,Smirk,Normal,None,Normal,None,Hazel,White,Yes,Y
Mazie Hirono,562,0.798,HI,SEN,D,F,0,FDark GrayFemale BobProminentBig SmileNormalNoneNormalNoneHazelWhiteMild,Dark Gray,Female Bob,Prominent,Big Smile,Normal,None,Normal,None,Hazel,White,Mild,Y
Brian Schatz,561,0.711,HI,SEN,D,M,0,MBlackGeneric Male MediumNormalBig SmileNormalNoneChinNoneBrownwhiteno,Black,Generic Male Medium,Normal,Big Smile,Normal,None,Chin,None,Brown,white,no,Y
Ashley Hinson,162,0.483,IA,1,R,F,0,FBlondeFemale LongNormalBig SmileNormalNoneCheeksNoneGreenWhiteNo,Blonde,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Green,White,No,Y
Mariannette Miller-Meeks,163,0.587,IA,2,R,F,0,FGrayFemale BobNormalNormalNormalNoneNormalGlassesBrownWhiteYes,Gray,Female Bob,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Cindy Axne,164,0.634,IA,3,D,F,0,FRedFemale LongNormalSerious SmileNormalNoneChinNoneBlueWhiteMild,Red,Female Long,Normal,Serious Smile,Normal,None,Chin,None,Blue,White,Mild,Y
Randy Feenstra,165,0.508,IA,4,R,M,0,MBrownGeneric Male MediumNormalNormalBigNoneChinGlassesBrownWhiteMild,Brown,Generic Male Medium,Normal,Normal,Big,None,Chin,Glasses,Brown,White,Mild,Y
Chuck Grassley,569,0.876,IA,SEN,R,M,0,MLight GrayReceding HairlineProminentBig SmileBigNoneNormalGlassesBluewhiteYes,Light Gray,Receding Hairline,Prominent,Big Smile,Big,None,Normal,Glasses,Blue,white,Yes,Y
Joni Ernst,464,0.826,IA,SEN,R,M,0,MDark GrayFemale BobNormalBig SmileNormalNoneCheeksNoneBlue-GreyWhiteNo,Dark Gray,Female Bob,Normal,Big Smile,Normal,None,Cheeks,None,Blue-Grey,White,No,Y
Russ Fulcher,133,0.401,ID,1,R,M,0,MBrownGeneric Male MediumProminentSerious SmileBigNoneChinNoneBrownWhiteYes,Brown,Generic Male Medium,Prominent,Serious Smile,Big,None,Chin,None,Brown,White,Yes,Y
Mike Simpson,134,0.493,ID,2,R,M,0,MBrownGeneric Male MediumProminentNormalNormalNoneNormalNoneBrownOrangeNo,Brown,Generic Male Medium,Prominent,Normal,Normal,None,Normal,None,Brown,Orange,No,Y
Mike Crapo,466,0.72,ID,SEN,R,M,0,MGrayReceding HairlineNormalThin LipsNormalNoneNormalNoneGreenWhiteNo,Gray,Receding Hairline,Normal,Thin Lips,Normal,None,Normal,None,Green,White,No,Y
Jim Risch,564,0.624,ID,SEN,R,M,0,MGrayBaldNormalSerious SmileNormalNoneNormalNonehazelwhiteMild,Gray,Bald,Normal,Serious Smile,Normal,None,Normal,None,hazel,white,Mild,Y
Bobby Rush,135,0.536,IL,1,D,M,0,MGrayGeneric ShortNormalNormalBigGoateeNormalGlassesBrownBrownYes,Gray,Generic Short,Normal,Normal,Big,Goatee,Normal,Glasses,Brown,Brown,Yes,Y
Robin Kelly,136,0.444,IL,2,D,F,0,FGrayFemale BobNormalBig SmileNormalNoneNormalNoneBrownOrangeNo,Gray,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,No,Y
Marie Newman,137,0.501,IL,3,D,F,0,FDark BrownFemale LongNormalSerious SmileNormalNoneCheeksNoneBrownWhiteMild,Dark Brown,Female Long,Normal,Serious Smile,Normal,None,Cheeks,None,Brown,White,Mild,Y
"Jesus ""Chuy"" García",138,0.699,IL,4,D,M,0,MDark GrayGeneric ShortNormalNo SmileBigMoustacheCheeksNoneBrownBrownYes,Dark Gray,Generic Short,Normal,No Smile,Big,Moustache,Cheeks,None,Brown,Brown,Yes,Y
Mike Quigley,139,0.445,IL,5,D,M,0,MDark BlondeGeneric Male MediumNormalSerious SmileNormalNoneCheeksNoneHazelWhiteMild,Dark Blonde,Generic Male Medium,Normal,Serious Smile,Normal,None,Cheeks,None,Hazel,White,Mild,Y
Sean Casten,140,0.458,IL,6,D,M,0,MBrownReceding HairlineNormalBig SmileBigNoneChinNoneGreyWhiteYes,Brown,Receding Hairline,Normal,Big Smile,Big,None,Chin,None,Grey,White,Yes,Y
Danny K. Davis,141,0.613,IL,7,D,M,0,MWhiteReceding HairlineNormalNormalNormalGoateeNormalNoneBrownBrownYes,White,Receding Hairline,Normal,Normal,Normal,Goatee,Normal,None,Brown,Brown,Yes,Y
Raja Krishnamoorthi,142,0.438,IL,8,D,M,0,MBlackGeneric Male MediumProminentBig SmileBigNoneNormalNoneBrownBrownNo,Black,Generic Male Medium,Prominent,Big Smile,Big,None,Normal,None,Brown,Brown,No,Y
Jan Schakowsky,143,0.381,IL,9,D,F,0,FBrownFemale ShortNormalSerious SmileNormalNoneNormalNoneBrownWhiteNo,Brown,Female Short,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,No,Y
Brad Schneider,144,0.381,IL,10,D,M,0,MDark BrownGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneBrownWhiteMild,Dark Brown,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Brown,White,Mild,Y
Bill Foster,145,0.374,IL,11,D,M,0,MWhiteReceding HairlineNormalNo SmileNormalNoneNormalGlassesBrownWhiteYes,White,Receding Hairline,Normal,No Smile,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Mike Bost,146,0.423,IL,12,R,M,0,MGrayGeneric Male MediumNormalNormalNormalNoneCheeksNoneBlueWhiteYes,Gray,Generic Male Medium,Normal,Normal,Normal,None,Cheeks,None,Blue,White,Yes,Y
Rodney Davis,147,0.615,IL,13,R,M,0,MBrownGeneric Male MediumNormalSerious SmileNormalNoneNormalNoneBlueWhiteNo,Brown,Generic Male Medium,Normal,Serious Smile,Normal,None,Normal,None,Blue,White,No,Y
Lauren Underwood,148,0.575,IL,14,D,F,0,FBlackFemale ShortNormalBig SmileNormalNoneNormalNoneBrownBrownNo,Black,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Mary Miller,149,0.651,IL,15,R,F,0,FLight BlondeFemale BobNormalNormalBigNoneCheeksNoneBlue-greyWhiteNo,Light Blonde,Female Bob,Normal,Normal,Big,None,Cheeks,None,Blue-grey,White,No,Y
Adam Kinzinger,150,0.537,IL,16,R,M,0,MBlackGeneric Male MediumNormalBig SmileBigNoneNormalNoneBrownWhiteMild,Black,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Brown,White,Mild,Y
Cheri Bustos,151,0.533,IL,17,D,F,0,FRedFemale LongNormalBig SmileNormalNoneNormalNoneBrownWhiteMild,Red,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Mild,Y
Darin LaHood,152,0.404,IL,18,R,M,0,MGrayGeneric Male MediumNormalSerious SmileBigNoneChinNoneBrownWhiteMild,Gray,Generic Male Medium,Normal,Serious Smile,Big,None,Chin,None,Brown,White,Mild,Y
Tammy Duckworth,566,0.844,IL,SEN,D,F,0,FRedFemale LongNormalBig SmileNormalNoneCheeksNonehazelwhiteno,Red,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,hazel,white,no,Y
Dick Durbin,467,0.812,IL,SEN,D,M,0,MLight GrayReceding HairlineNormalNormalNormalNoneCheeksNoneBrownWhiteYes,Light Gray,Receding Hairline,Normal,Normal,Normal,None,Cheeks,None,Brown,White,Yes,Y
Frank J. Mrvan,153,0.485,IN,1,D,M,0,MDark BrownGeneric Male MediumNormalSmirkBigNoneNormalNoneBrownWhiteYes,Dark Brown,Generic Male Medium,Normal,Smirk,Big,None,Normal,None,Brown,White,Yes,Y
Jackie Walorski,154,0.397,IN,2,R,F,0,FBrownFemale BobNormalNormalNormalNoneNormalGlassesBrownWhiteYes,Brown,Female Bob,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Jim Banks,155,0.404,IN,3,R,M,0,MDark GrayGeneric Male MediumProminentBig SmileBigNoneChinNoneHazelWhiteMild,Dark Gray,Generic Male Medium,Prominent,Big Smile,Big,None,Chin,None,Hazel,White,Mild,Y
Jim Baird,156,0.384,IN,4,R,M,0,MWhiteReceding HairlineNormalNormalNormalNoneChinNoneBrownWhiteYes,White,Receding Hairline,Normal,Normal,Normal,None,Chin,None,Brown,White,Yes,Y
Victoria Spartz,157,0.455,IN,5,R,F,0,FLight BlondeFemale ShortNormalSerious SmileBigNoneCheeksNoneBrownWhiteMild,Light Blonde,Female Short,Normal,Serious Smile,Big,None,Cheeks,None,Brown,White,Mild,Y
Greg Pence,158,0.534,IN,6,R,M,0,MWhiteGeneric ShortNormalSmirkBigNoneChinNonehazelWhiteYes,White,Generic Short,Normal,Smirk,Big,None,Chin,None,hazel,White,Yes,Y
André Carson,159,0.509,IN,7,D,M,0,MGrayBaldNormalNormalNormalMoustacheNormalNoneBrownBrownNo,Gray,Bald,Normal,Normal,Normal,Moustache,Normal,None,Brown,Brown,No,Y
Larry Bucshon,160,0.315,IN,8,R,M,0,MBlackBaldNormalSerious SmileNormalNoneNormalNoneBrownOrangeNo,Black,Bald,Normal,Serious Smile,Normal,None,Normal,None,Brown,Orange,No,Y
Trey Hollingsworth,161,0.419,IN,9,R,M,0,MBlackGeneric Male MediumNormalNo SmileBigNoneCheeksNoneBlueWhiteMild,Black,Generic Male Medium,Normal,No Smile,Big,None,Cheeks,None,Blue,White,Mild,Y
Todd Young,567,0.679,IN,SEN,R,M,0,MBlackGeneric Male MediumNormalBig SmileNormalNoneNormalNonehazelwhitemild,Black,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,None,hazel,white,mild,Y
Mike Braun,568,0.674,IN,SEN,R,M,0,MDark GrayReceding HairlineNormalSerious SmileNormalNoneNormalGlasseshazelwhiteno,Dark Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,Glasses,hazel,white,no,Y
Tracey Mann,166,0.362,KS,1,R,M,0,MDark BrownReceding HairlineNormalNormalBigNoneChinNoneBrownWhiteMild,Dark Brown,Receding Hairline,Normal,Normal,Big,None,Chin,None,Brown,White,Mild,Y
Jake LaTurner,167,0.422,KS,2,R,M,0,MBlackGeneric Male MediumNormalNormalNormalNoneNormalGlassesBrownWhiteNo,Black,Generic Male Medium,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,No,Y
Sharice Davids,168,0.62,KS,3,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneCheeksNoneBrownBrownMild,Brown,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Brown,Brown,Mild,Y
Ron Estes,169,0.438,KS,4,R,M,0,MWhiteBaldNormalSerious SmileNormalNoneNormalNoneBrownWhiteYes,White,Bald,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,Yes,Y
Jerry Moran,571,0.624,KS,SEN,R,M,0,MLight GrayReceding HairlineNormalBig SmileBigNoneNormalNoneBlueOrangeMild,Light Gray,Receding Hairline,Normal,Big Smile,Big,None,Normal,None,Blue,Orange,Mild,Y
Roger Marshall,572,0.615,KS,SEN,R,M,0,MGrayReceding HairlineNormalBig SmileNormalNoneCheeksNoneBlueWhiteMild,Gray,Receding Hairline,Normal,Big Smile,Normal,None,Cheeks,None,Blue,White,Mild,Y
James Comer,170,0.378,KY,1,R,M,0,MWhiteGeneric Male MediumNormalSmirkNormalNoneChinNoneBrownWhiteYes,White,Generic Male Medium,Normal,Smirk,Normal,None,Chin,None,Brown,White,Yes,Y
Brett Guthrie,171,0.377,KY,2,R,M,0,MDark GrayReceding HairlineNormalSerious SmileNormalNoneNormalGlassesBrownWhiteMild,Dark Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,Glasses,Brown,White,Mild,Y
John Yarmuth,172,0.521,KY,3,D,M,0,MBrownReceding HairlineProminentNormalNormalNoneNormalNoneBrownWhiteYes,Brown,Receding Hairline,Prominent,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
Thomas Massie,173,0.485,KY,4,R,M,0,MBrownGeneric Male MediumNormalNormalNormalNoneNormalGlassesBrownWhiteNo,Brown,Generic Male Medium,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,No,Y
Hal Rogers,174,0.566,KY,5,R,M,0,MWhiteGeneric Male MediumNormalNo SmileBigNoneNormalGlassesBlue-GreyWhiteYes,White,Generic Male Medium,Normal,No Smile,Big,None,Normal,Glasses,Blue-Grey,White,Yes,Y
Andy Barr,175,0.664,KY,6,R,M,0,MBrownReceding HairlineNormalSerious SmileNormalNoneNormalNoneBrownOrangeYes,Brown,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Mitch McConnell,573,0.968,KY,SEN,R,M,0,MLight GrayReceding HairlineNormalSmirkBigNoneCheeksGlassesBlue-GreyWhiteYes,Light Gray,Receding Hairline,Normal,Smirk,Big,None,Cheeks,Glasses,Blue-Grey,White,Yes,Y
Rand Paul,574,0.904,KY,SEN,R,M,0,MBrownGeneric Male MediumProminentSmirkBigNoneCheeksNoneBlue-GreywhiteMild,Brown,Generic Male Medium,Prominent,Smirk,Big,None,Cheeks,None,Blue-Grey,white,Mild,Y
Steve Scalise,176,0.528,LA,1,R,M,0,MGrayReceding HairlineProminentNormalBigNoneChinNoneGreenWhiteNo,Gray,Receding Hairline,Prominent,Normal,Big,None,Chin,None,Green,White,No,Y
Troy Carter,177,0.4,LA,2,D,M,0,MDark GrayReceding HairlineNormalNormalNormalBeardNormalGlassesBrownBrownYes,Dark Gray,Receding Hairline,Normal,Normal,Normal,Beard,Normal,Glasses,Brown,Brown,Yes,Y
Clay Higgins,178,0.368,LA,3,R,M,0,MDark GrayReceding HairlineProminentNo SmileBigNoneChinNoneGreyWhiteNo,Dark Gray,Receding Hairline,Prominent,No Smile,Big,None,Chin,None,Grey,White,No,Y
Mike Johnson,179,0.664,LA,4,R,M,0,MBlackGeneric Male MediumNormalNo SmileBigNoneNormalGlassesBrownWhiteMild,Black,Generic Male Medium,Normal,No Smile,Big,None,Normal,Glasses,Brown,White,Mild,Y
Julia Letlow,180,0.4,LA,5,R,F,0,FLight BrownFemale BobNormalBig SmileNormalNoneCheeksNoneAmberWhiteNo,Light Brown,Female Bob,Normal,Big Smile,Normal,None,Cheeks,None,Amber,White,No,Y
Garret Graves,181,0.366,LA,6,R,M,0,MBrownGeneric Male MediumProminentNormalNormalNoneNormalNoneBrownWhiteNo,Brown,Generic Male Medium,Prominent,Normal,Normal,None,Normal,None,Brown,White,No,Y
John Kennedy,476,0.849,LA,SEN,R,M,0,MDark GrayGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneGreyWhiteMild,Dark Gray,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Grey,White,Mild,Y
Bill Cassidy,475,0.702,LA,SEN,R,M,0,MLight GrayGeneric Male MediumProminentBig SmileBigNoneChinNoneBlue-GreyWhiteMild,Light Gray,Generic Male Medium,Prominent,Big Smile,Big,None,Chin,None,Blue-Grey,White,Mild,Y
Richard Neal,192,0.464,MA,1,D,M,0,MDark GrayReceding HairlineNormalNormalBigNoneChinNoneBlueWhiteYes,Dark Gray,Receding Hairline,Normal,Normal,Big,None,Chin,None,Blue,White,Yes,Y
Jim McGovern,193,0.488,MA,2,D,M,0,MDark BrownBaldNormalNo SmileBigNoneNormalGlassesBrownWhiteNo,Dark Brown,Bald,Normal,No Smile,Big,None,Normal,Glasses,Brown,White,No,Y
Lori Trahan,194,0.412,MA,3,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneChinNoneBrownWhiteNo,Brown,Female Long,Normal,Big Smile,Normal,None,Chin,None,Brown,White,No,Y
Jake Auchincloss,195,0.439,MA,4,D,M,0,MDark BrownGeneric Male MediumNormalBig SmileBigNoneNormalNoneGreenWhiteNo,Dark Brown,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Green,White,No,Y
Katherine Clark,196,0.445,MA,5,D,F,0,FWhiteFemale LongNormalNormalNormalNoneNormalNoneBlueWhiteNo,White,Female Long,Normal,Normal,Normal,None,Normal,None,Blue,White,No,Y
Seth Moulton,197,0.391,MA,6,D,M,0,MBrownGeneric Male MediumNormalNormalNormalNoneChinNoneBrownWhiteMild,Brown,Generic Male Medium,Normal,Normal,Normal,None,Chin,None,Brown,White,Mild,Y
Ayanna Pressley,198,0.601,MA,7,D,F,0,FNoneBaldNormalBig SmileNormalNoneNormalNoneBrownBrownNo,None,Bald,Normal,Big Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Stephen F. Lynch,199,0.38,MA,8,D,M,0,MGrayReceding HairlineProminentSerious SmileBigNoneChinNoneBlueWhiteYes,Gray,Receding Hairline,Prominent,Serious Smile,Big,None,Chin,None,Blue,White,Yes,Y
Bill Keating,200,0.393,MA,9,D,M,0,MGrayBaldNormalSerious SmileBigNoneNormalNoneBrownWhiteYes,Gray,Bald,Normal,Serious Smile,Big,None,Normal,None,Brown,White,Yes,Y
Elizabeth Warren,479,0.94,MA,SEN,D,F,0,FLight BlondeFemale ShortNormalSerious SmileNormalNoneNormalGlassesBlueWhiteNo,Light Blonde,Female Short,Normal,Serious Smile,Normal,None,Normal,Glasses,Blue,White,No,Y
Ed Markey,582,0.784,MA,SEN,D,M,0,MGrayReceding HairlineProminentSerious SmileNormalNoneChinNonehazelwhiteMild,Gray,Receding Hairline,Prominent,Serious Smile,Normal,None,Chin,None,hazel,white,Mild,Y
Andy Harris,184,0.528,MD,1,R,M,0,MGrayReceding HairlineNormalNormalNormalBeardNormalNoneBrownWhiteNo,Gray,Receding Hairline,Normal,Normal,Normal,Beard,Normal,None,Brown,White,No,Y
Dutch Ruppersberger,185,0.382,MD,2,D,M,0,MDark BrownGeneric Male MediumProminentBig SmileNormalNoneChinNoneBrownWhiteYes,Dark Brown,Generic Male Medium,Prominent,Big Smile,Normal,None,Chin,None,Brown,White,Yes,Y
John Sarbanes,186,0.359,MD,3,D,M,0,MBlackGeneric Male MediumNormalSerious SmileBigNoneNormalNoneBrownWhiteNo,Black,Generic Male Medium,Normal,Serious Smile,Big,None,Normal,None,Brown,White,No,Y
Anthony G. Brown,187,0.587,MD,4,D,M,0,MBlackGeneric ShortNormalNormalNormalNoneNormalGlassesBrownBrownYes,Black,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Brown,Brown,Yes,Y
Steny Hoyer,188,0.549,MD,5,D,M,0,MWhiteGeneric ShortNormalSneerBigNoneNormalNoneGreyWhiteYes,White,Generic Short,Normal,Sneer,Big,None,Normal,None,Grey,White,Yes,Y
David Trone,189,0.369,MD,6,D,M,0,MGrayGeneric Male MediumNormalNormalBigNoneCheeksNoneBlueWhiteMild,Gray,Generic Male Medium,Normal,Normal,Big,None,Cheeks,None,Blue,White,Mild,Y
Kweisi Mfume,190,0.409,MD,7,D,M,0,MBlackGeneric ShortNormalNormalNormalMoustacheNormalGlassesBrownBrownNo,Black,Generic Short,Normal,Normal,Normal,Moustache,Normal,Glasses,Brown,Brown,No,Y
Jamie Raskin,191,0.502,MD,8,D,M,0,MBlackReceding HairlineNormalBig SmileBigNoneChinNoneBrownWhiteYes,Black,Receding Hairline,Normal,Big Smile,Big,None,Chin,None,Brown,White,Yes,Y
Ben Cardin,579,0.615,MD,SEN,D,M,0,MWhiteBaldNormalBig SmileNormalNoneNormalNonehazelwhiteMild,White,Bald,Normal,Big Smile,Normal,None,Normal,None,hazel,white,Mild,Y
Chris Van Hollen,580,0.541,MD,SEN,D,M,0,MWhiteGeneric Male MediumNormalNormalNormalNoneNormalNonehazelwhiteMild,White,Generic Male Medium,Normal,Normal,Normal,None,Normal,None,hazel,white,Mild,Y
Chellie Pingree,182,0.55,ME,1,D,F,0,FBlondeFemale BobNormalThin LipsNormalNoneChinNoneBlueWhiteYes,Blonde,Female Bob,Normal,Thin Lips,Normal,None,Chin,None,Blue,White,Yes,Y
Jared Golden,183,0.645,ME,2,D,M,0,MDark BrownGeneric Male MediumNormalNo SmileNormalNoneNormalNoneAmberWhiteNo,Dark Brown,Generic Male Medium,Normal,No Smile,Normal,None,Normal,None,Amber,White,No,Y
Susan Collins,480,0.913,ME,SEN,R,F,0,FBrownFemale ShortNormalBig SmileNormalNoneNormalNoneGreenWhitemild,Brown,Female Short,Normal,Big Smile,Normal,None,Normal,None,Green,White,mild,Y
Angus King,578,0.839,ME,SEN,I,M,0,MDark BlondeReceding HairlineNormalBig SmileNormalMoustacheNormalNoneBluewhiteYes,Dark Blonde,Receding Hairline,Normal,Big Smile,Normal,Moustache,Normal,None,Blue,white,Yes,Y
Jack Bergman,201,0.571,MI,1,R,M,0,MWhiteGeneric Male MediumNormalBig SmileBigNoneCheeksNoneBlue-GreyOrangeYes,White,Generic Male Medium,Normal,Big Smile,Big,None,Cheeks,None,Blue-Grey,Orange,Yes,Y
